"","X1","X2"
"1","year","old"
"2","new","york"
"3","last","year"
"4","right","now"
"5","high","school"
"6","years","ago"
"8","first","time"
"9","feel","like"
"11","st","louis"
"12","make","sure"
"13","even","though"
"15","can","get"
"16","united","states"
"17","two","years"
"18","one","day"
"19","every","day"
"20","los","angeles"
"22","looks","like"
"23","looking","forward"
"24","san","francisco"
"25","long","time"
"26","little","bit"
"27","next","week"
"28","just","like"
"30","many","people"
"31","look","like"
"32","dont","know"
"33","health","care"
"34","let","know"
"39","three","years"
"41","go","back"
"43","get","back"
"44","pretty","much"
"46","happy","birthday"
"47","good","morning"
"48","come","back"
"51","social","media"
"52","a.m","p.m"
"56","five","years"
"57","ice","cream"
"58","police","said"
"59","sounds","like"
"60","four","years"
"62","felt","like"
"63","officials","said"
"68","im","going"
"69","vice","president"
"71","weeks","ago"
"72","really","good"
"73","said","just"
"76","much","better"
"82","real","estate"
"89","seems","like"
"90","white","house"
"92","e","mail"
"93","supreme","court"
"94","thanks","follow"
"95","things","like"
"97","least","one"
"98","looked","like"
"100","going","get"
"101","something","like"
"102","around","world"
"105","wait","see"
"108","trying","get"
"110","anyone","else"
"111","follow","back"
"116","someone","else"
"117","wall","street"
"120","want","go"
"121","school","district"
"122","best","friend"
"124","kansas","city"
"125","friday","night"
"129","saturday","night"
"130","time","get"
"131","take","care"
"133","super","bowl"
"136","feels","like"
"137","city","council"
"139","also","said"
"140","great","day"
"141","need","get"
"143","executive","director"
"144","full","time"
"148","like","one"
"150","getting","ready"
"151","think","can"
"152","york","city"
"154","law","enforcement"
"155","lot","people"
"156","chief","executive"
"161","hard","work"
"162","general","manager"
"163","mother's","day"
"164","join","us"
"165","barack","obama"
"167","second","half"
"168","couple","weeks"
"169","spend","time"
"170","back","home"
"174","people","can"
"178","several","years"
"180","everyone","else"
"182","ohio","state"
"183","associated","press"
"184","thank","much"
"185","family","friends"
"187","months","ago"
"188","north","carolina"
"192","parking","lot"
"193","now","just"
"194","living","room"
"196","day","day"
"197","six","months"
"198","las","vegas"
"200","olive","oil"
"201","tell","us"
