"","1","2"
"1","year","old"
"2","new","york"
"3","last","year"
"4","right","now"
"5","high","school"
"6","years","ago"
"7","last","week"
"8","first","time"
"9","feel","like"
"10","last","night"
"11","st","louis"
"12","make","sure"
"13","even","though"
"14","new","jersey"
"15","can","get"
"16","united","states"
"17","two","years"
"18","one","day"
"19","every","day"
"20","los","angeles"
"21","can","see"
"22","looks","like"
"23","looking","forward"
"24","san","francisco"
"25","long","time"
"26","little","bit"
"27","next","week"
"28","just","like"
"29","one","thing"
"30","many","people"
"31","look","like"
"32","dont","know"
"33","health","care"
"34","let","know"
"35","next","year"
"36","last","month"
"37","can","make"
"38","every","time"
"39","three","years"
"40","two","weeks"
"41","go","back"
"42","just","got"
"43","get","back"
"44","pretty","much"
"45","just","one"
"46","happy","birthday"
"47","good","morning"
"48","come","back"
"49","long","term"
"50","san","diego"
"51","social","media"
"52","a.m","p.m"
"53","years","old"
"54","good","luck"
"55","can","help"
"56","five","years"
"57","ice","cream"
"58","police","said"
"59","sounds","like"
"60","four","years"
"61","last","season"
"62","felt","like"
"63","officials","said"
"64","next","time"
"65","can","also"
"66","first","round"
"67","one","time"
"68","im","going"
"69","vice","president"
"70","just","want"
"71","weeks","ago"
"72","really","good"
"73","said","just"
"74","last","time"
"75","im","sure"
"76","much","better"
"77","look","forward"
"78","can","find"
"79","let","us"
"80","one","best"
"81","one","year"
"82","real","estate"
"83","many","times"
"84","pretty","good"
"85","new","year"
"86","good","thing"
"87","dont","want"
"88","one","two"
"89","seems","like"
"90","white","house"
"91","dont","think"
"92","e","mail"
"93","supreme","court"
"94","thanks","follow"
"95","things","like"
"96","let","go"
"97","least","one"
"98","looked","like"
"99","can","tell"
"100","going","get"
"101","something","like"
"102","around","world"
"103","one","can"
"104","can","say"
"105","wait","see"
"106","can","go"
"107","last","years"
"108","trying","get"
"109","year","ago"
"110","anyone","else"
"111","follow","back"
"112","two","days"
"113","can","take"
"114","many","years"
"115","every","year"
"116","someone","else"
"117","wall","street"
"118","can","use"
"119","really","want"
"120","want","go"
"121","school","district"
"122","best","friend"
